order_id,product_code,quantity,unit_price,returned
1,P00012,1,237.82,False
1,P00243,3,47.68,False
1,P00015,2,44.86,False
2,P00238,2,249.54,False
2,P00194,3,95.4,False
3,P00008,2,53.96,False
3,P00070,1,66.79,False
3,P00123,2,13.75,False
3,P00040,1,8.44,False
3,P00133,2,92.94,True
4,P00188,3,412.55,False
5,P00208,1,44.71,False
5,P00153,3,51.41,False
6,P00117,1,229.1,False
7,P00040,1,8.44,False
7,P00045,2,234.96,False
7,P00138,3,28.92,False
7,P00203,1,216.49,False
7,P00093,1,229.09,False
8,P00189,1,91.73,False
8,P00210,1,69.04,False
9,P00074,1,175.78,False
9,P00007,2,580.57,False
9,P00021,2,597.41,False
9,P00112,3,94.05,True
9,P00197,3,109.33,False
10,P00174,2,83.69,False
10,P00047,2,30.9,False
10,P00109,3,68.51,False
10,P00032,1,17.36,False
10,P00046,2,14.11,False
11,P00165,3,136.3,False
11,P00100,3,194.61,False
12,P00016,3,101.79,False
12,P00158,3,170.85,True
12,P00178,2,266.09,False
12,P00181,2,191.78,False
12,P00197,3,109.33,False
13,P00151,1,226.03,False
13,P00069,3,96.42,False
13,P00218,1,255.17,False
14,P00021,2,597.41,False
15,P00052,2,39.75,False
15,P00034,2,202.13,False
15,P00014,1,34.86,False
15,P00231,1,60.74,False
15,P00133,3,92.94,False
16,P00146,3,63.04,False
16,P00202,1,17.7,False
16,P00154,1,637.41,False
17,P00248,3,223.41,False
17,P00151,3,226.03,False
17,P00204,1,85.15,False
18,P00094,3,19.06,False
18,P00204,1,85.15,False
18,P00104,1,170.38,False
18,P00191,2,246.2,False
19,P00115,1,333.47,False
19,P00193,2,433.93,True
19,P00182,1,108.53,False
19,P00055,1,534.25,False
19,P00242,3,97.26,False
20,P00038,1,26.65,False
21,P00206,2,84.05,False
21,P00005,1,39.39,False
21,P00197,3,109.33,False
22,P00167,2,57.22,False
22,P00135,2,51.88,False
22,P00110,3,189.92,False
23,P00097,2,71.02,False
23,P00123,1,13.75,False
23,P00018,2,12.82,False
24,P00062,2,59.97,False
24,P00004,3,197.31,False
25,P00094,1,19.06,False
25,P00036,3,11.97,False
25,P00196,1,15.18,False
25,P00059,1,470.93,False
26,P00232,3,38.61,False
26,P00061,2,53.6,False
27,P00171,1,602.91,False
27,P00170,2,19.27,False
28,P00175,1,46.73,False
28,P00066,1,255.24,False
28,P00098,1,311.01,False
28,P00225,3,17.03,False
29,P00248,1,223.41,False
29,P00208,3,44.71,False
29,P00233,2,567.08,False
30,P00234,2,75.35,False
30,P00174,1,83.69,False
31,P00184,2,29.36,False
31,P00078,3,394.54,False
32,P00152,3,290.84,False
32,P00021,2,597.41,False
33,P00224,3,44.57,False
34,P00032,1,17.36,False
35,P00062,1,59.97,False
35,P00151,3,226.03,False
35,P00092,1,23.78,False
35,P00057,1,26.16,False
35,P00124,2,7.77,False
36,P00114,1,103.78,False
36,P00150,2,93.79,False
36,P00206,3,84.05,False
36,P00132,3,153.62,True
37,P00028,1,138.36,False
37,P00129,3,130.04,False
38,P00051,2,27.74,False
38,P00095,3,273.75,False
39,P00089,2,197.85,False
40,P00195,3,61.59,True
40,P00084,1,17.56,False
41,P00061,1,53.6,False
42,P00008,2,53.96,False
43,P00008,1,53.96,False
43,P00112,3,94.05,True
43,P00141,1,418.18,False
43,P00005,1,39.39,False
44,P00238,2,249.54,False
44,P00205,1,19.15,False
44,P00165,3,136.3,False
44,P00134,3,205.56,False
45,P00051,2,27.74,False
45,P00202,1,17.7,True
45,P00012,2,237.82,False
45,P00169,2,27.31,False
46,P00149,2,292.96,False
46,P00149,3,292.96,False
46,P00033,1,325.67,False
46,P00114,2,103.78,False
46,P00001,1,513.91,False
47,P00157,3,25.96,False
47,P00147,3,62.25,False
47,P00009,3,34.59,False
47,P00094,2,19.06,False
48,P00152,2,290.84,False
49,P00063,1,332.15,False
49,P00054,3,476.75,False
49,P00211,2,72.05,False
49,P00169,3,27.31,False
49,P00128,2,6.58,False
50,P00041,3,376.45,False
50,P00174,1,83.69,False
51,P00171,2,602.91,False
52,P00074,2,175.78,False
52,P00082,2,36.5,False
52,P00114,2,103.78,False
52,P00015,3,44.86,False
53,P00124,3,7.77,False
53,P00142,1,206.94,False
54,P00154,2,637.41,False
54,P00013,1,58.11,False
54,P00132,3,153.62,False
54,P00101,3,114.32,False
54,P00228,2,671.23,False
55,P00008,2,53.96,False
55,P00182,1,108.53,False
55,P00116,3,62.57,False
55,P00231,2,60.74,False
55,P00096,1,105.29,False
56,P00095,2,273.75,True
56,P00009,2,34.59,False
56,P00184,2,29.36,True
57,P00121,3,9.22,False
57,P00102,1,10.63,False
57,P00181,1,191.78,False
57,P00154,1,637.41,False
57,P00208,1,44.71,False
58,P00129,1,130.04,False
58,P00243,3,47.68,True
59,P00164,3,20.82,False
59,P00112,3,94.05,True
59,P00102,3,10.63,False
59,P00141,2,418.18,False
59,P00038,2,26.65,True
60,P00044,2,40.44,False
60,P00180,3,27.08,False
60,P00191,3,246.2,False
61,P00115,1,333.47,False
61,P00169,2,27.31,False
61,P00145,1,141.93,False
62,P00148,1,34.57,False
62,P00062,1,59.97,False
62,P00101,1,114.32,False
63,P00104,1,170.38,False
63,P00108,2,163.55,False
63,P00155,3,165.26,True
63,P00108,2,163.55,False
63,P00222,1,69.95,True
64,P00059,2,470.93,False
64,P00154,1,637.41,False
64,P00110,2,189.92,False
64,P00129,3,130.04,False
65,P00234,2,75.35,False
66,P00173,3,579.69,True
66,P00114,1,103.78,False
66,P00089,3,197.85,False
66,P00028,3,138.36,False
66,P00034,1,202.13,False
67,P00103,3,237.98,True
67,P00178,2,266.09,False
67,P00152,1,290.84,False
67,P00160,2,59.12,False
68,P00051,1,27.74,False
69,P00113,3,88.92,False
69,P00023,2,19.71,False
69,P00181,3,191.78,False
70,P00050,1,195.12,False
70,P00026,3,46.83,False
70,P00027,1,55.11,False
70,P00226,3,23.98,False
70,P00087,2,472.43,False
71,P00062,1,59.97,False
71,P00216,2,266.03,False
72,P00170,1,19.27,False
72,P00063,1,332.15,True
72,P00182,1,108.53,False
73,P00150,2,93.79,False
73,P00237,3,30.22,False
73,P00213,2,23.62,False
73,P00135,3,51.88,False
74,P00019,2,47.22,False
74,P00223,2,150.64,False
74,P00239,1,296.23,False
74,P00173,1,579.69,False
75,P00031,1,523.11,False
75,P00140,1,318.2,False
75,P00219,2,25.63,False
75,P00052,3,39.75,False
75,P00047,2,30.9,False
76,P00095,2,273.75,False
76,P00078,1,394.54,False
76,P00224,1,44.57,False
77,P00181,2,191.78,False
78,P00023,2,19.71,False
79,P00137,3,140.25,False
